stack,attack_mode,perturbation_budget,force_escalation_fraction,load_multiplier,total_arrival_rate_per_s,expensive_service_rate_per_s,escalated_arrival_rate_per_s,expensive_utilization,strategy,queue_stable,resource_bound_preserved,fail_closed_safety_semantics_preserved,ordinary_response_fraction,defer_reject_fraction,expensive_bypass_fraction
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,0.5,0.8047979244628504,0.6762076224825601,0.2237405018216223,0.33087545064961577,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,0.5,0.8047979244628504,0.6762076224825601,0.2237405018216223,0.33087545064961577,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,0.5,0.8047979244628504,0.6762076224825601,0.2237405018216223,0.33087545064961577,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,1.0,1.6095958489257007,0.6762076224825601,0.4474810036432446,0.6617509012992315,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,1.0,1.6095958489257007,0.6762076224825601,0.4474810036432446,0.6617509012992315,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,1.0,1.6095958489257007,0.6762076224825601,0.4474810036432446,0.6617509012992315,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,1.25,2.011994811157126,0.6762076224825601,0.5593512545540558,0.8271886266240394,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,1.25,2.011994811157126,0.6762076224825601,0.5593512545540558,0.8271886266240394,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,1.25,2.011994811157126,0.6762076224825601,0.5593512545540558,0.8271886266240394,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,1.5,2.414393773388551,0.6762076224825601,0.6712215054648669,0.9926263519488473,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,1.5,2.414393773388551,0.6762076224825601,0.6712215054648669,0.9926263519488473,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,1.5,2.414393773388551,0.6762076224825601,0.6712215054648669,0.9926263519488473,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,2.0,3.2191916978514015,0.6762076224825601,0.8949620072864892,1.323501802598463,fail_open_budget_cap,True,True,False,1.0,0.0,0.067953202336454
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,2.0,3.2191916978514015,0.6762076224825601,0.8949620072864892,1.323501802598463,fail_closed_no_admission,False,False,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.001,0.27800829875518673,2.0,3.2191916978514015,0.6762076224825601,0.8949620072864892,1.0,fail_closed_defer_reject,True,True,True,0.932046797663546,0.067953202336454,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,0.5,0.8047979244628504,0.6762076224825601,0.23280461596791405,0.34427978660343816,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,0.5,0.8047979244628504,0.6762076224825601,0.23280461596791405,0.34427978660343816,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,0.5,0.8047979244628504,0.6762076224825601,0.23280461596791405,0.34427978660343816,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,1.0,1.6095958489257007,0.6762076224825601,0.4656092319358281,0.6885595732068763,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,1.0,1.6095958489257007,0.6762076224825601,0.4656092319358281,0.6885595732068763,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,1.0,1.6095958489257007,0.6762076224825601,0.4656092319358281,0.6885595732068763,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,1.25,2.011994811157126,0.6762076224825601,0.5820115399197852,0.8606994665085954,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,1.25,2.011994811157126,0.6762076224825601,0.5820115399197852,0.8606994665085954,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,1.25,2.011994811157126,0.6762076224825601,0.5820115399197852,0.8606994665085954,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,1.5,2.414393773388551,0.6762076224825601,0.6984138479037422,1.0328393598103145,fail_open_budget_cap,True,True,False,1.0,0.0,0.009197433188380096
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,1.5,2.414393773388551,0.6762076224825601,0.6984138479037422,1.0328393598103145,fail_closed_no_admission,False,False,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,1.5,2.414393773388551,0.6762076224825601,0.6984138479037422,1.0,fail_closed_defer_reject,True,True,True,0.9908025668116199,0.009197433188380096,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,2.0,3.2191916978514015,0.6762076224825601,0.9312184638716562,1.3771191464137527,fail_open_budget_cap,True,True,False,1.0,0.0,0.079215798661291
rule_compact_to_qwen,synthetic_route_pressure,0.01,0.28927089508002374,2.0,3.2191916978514015,0.6762076224825601,0.9312184638716562,1.3771191464137527,fail_closed_no_admission,False,False,True,1.0,0.0,0.0
