scheme,outer_fold,target_fpr,policy,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,intercept_rate,recall_ci95_low,recall_ci95_high,fpr_ci95_low,fpr_ci95_high,fpr_one_sided95_upper,qwen_call_rate,avg_estimated_cost_ms,estimated_cost_reduction
leave_family_out,PAIR,0.01,full_information_always_on,100,43,57,28,15,4,53,0.6511627906976745,0.07017543859649122,0.875,0.81,0.32,0.4907336395246389,0.7899218429933301,0.019450420694709248,0.17003981995864137,0.1534336909272906,1.0,1407.7604254999999,0.0
leave_family_out,PAIR,0.01,selective_acquisition,100,43,57,28,15,4,53,0.6511627906976745,0.07017543859649122,0.875,0.81,0.32,0.4907336395246389,0.7899218429933301,0.019450420694709248,0.17003981995864137,0.1534336909272906,0.58,832.9321276100001,0.4083282122992169
leave_family_out,PAIR,0.025,full_information_always_on,100,43,57,39,4,9,48,0.9069767441860465,0.15789473684210525,0.8125,0.87,0.48,0.7786465546186137,0.9740687097336765,0.07483116920051248,0.2786826300687293,0.2593598895364318,1.0,1407.7604254999999,0.0
leave_family_out,PAIR,0.025,selective_acquisition,100,43,57,39,4,9,48,0.9069767441860465,0.15789473684210525,0.8125,0.87,0.48,0.7786465546186137,0.9740687097336765,0.07483116920051248,0.2786826300687293,0.2593598895364318,0.97,1366.7012613649997,0.029166300878515572
leave_family_out,PAIR,0.05,full_information_always_on,100,43,57,42,1,10,47,0.9767441860465116,0.17543859649122806,0.8076923076923077,0.89,0.52,0.8771095172986603,0.9994113870684068,0.08747322881027376,0.2990576594568134,0.27939430547973426,1.0,1407.7604254999999,0.0
leave_family_out,PAIR,0.05,selective_acquisition,100,43,57,42,1,10,47,0.9767441860465116,0.17543859649122806,0.8076923076923077,0.89,0.52,0.8771095172986603,0.9994113870684068,0.08747322881027376,0.2990576594568134,0.27939430547973426,0.98,1380.3876494099998,0.019444200585677085
leave_family_out,PAIR,0.1,full_information_always_on,100,43,57,43,0,11,46,1.0,0.19298245614035087,0.7962962962962963,0.89,0.54,0.9177888788458615,1.0,0.10047222859773226,0.3191097862685582,0.29915459697388846,1.0,1407.7604254999999,0.0
leave_family_out,PAIR,0.1,selective_acquisition,100,43,57,43,0,11,46,1.0,0.19298245614035087,0.7962962962962963,0.89,0.54,0.9177888788458615,1.0,0.10047222859773226,0.3191097862685582,0.29915459697388846,0.81,1147.7190526450004,0.18471990556393114
leave_family_out,random_search,0.01,full_information_always_on,50,38,12,21,17,0,12,0.5526315789473685,0.0,1.0,0.66,0.42,0.38299075116428966,0.7137585009994039,0.0,0.2646484693970512,0.22092219194555585,1.0,1407.7604255,0.0
leave_family_out,random_search,0.01,selective_acquisition,50,38,12,20,18,0,12,0.5263157894736842,0.0,1.0,0.64,0.4,0.35818343626050364,0.6901926983917913,0.0,0.2646484693970512,0.22092219194555585,0.48,696.06824716,0.505549215227602
leave_family_out,random_search,0.025,full_information_always_on,50,38,12,22,16,1,11,0.5789473684210527,0.08333333333333333,0.9565217391304348,0.66,0.46,0.40821445411990515,0.7369017627485158,0.0021075932318602264,0.38479616515094406,0.3386806684340324,1.0,1407.7604255,0.0
leave_family_out,random_search,0.025,selective_acquisition,50,38,12,22,16,1,11,0.5789473684210527,0.08333333333333333,0.9565217391304348,0.66,0.46,0.40821445411990515,0.7369017627485158,0.0021075932318602264,0.38479616515094406,0.3386806684340324,0.58,832.9321276099998,0.4083282122992171
leave_family_out,random_search,0.05,full_information_always_on,50,38,12,38,0,3,9,1.0,0.25,0.926829268292683,0.94,0.82,0.9074872385841217,1.0,0.05486064452799272,0.5718584618781891,0.5273266035603434,1.0,1407.7604255,0.0
leave_family_out,random_search,0.05,selective_acquisition,50,38,12,38,0,3,9,1.0,0.25,0.926829268292683,0.94,0.82,0.9074872385841217,1.0,0.05486064452799272,0.5718584618781891,0.5273266035603434,1.0,1407.7604255,0.0
leave_family_out,random_search,0.1,full_information_always_on,50,38,12,38,0,3,9,1.0,0.25,0.926829268292683,0.94,0.82,0.9074872385841217,1.0,0.05486064452799272,0.5718584618781891,0.5273266035603434,1.0,1407.7604255,0.0
leave_family_out,random_search,0.1,selective_acquisition,50,38,12,38,0,3,9,1.0,0.25,0.926829268292683,0.94,0.82,0.9074872385841217,1.0,0.05486064452799272,0.5718584618781891,0.5273266035603434,0.86,1216.1509928699998,0.13610940409973926
