policy,family,budget_fraction,budget_ms,seed,rows,recall,false_positive_rate,mean_total_cost_ms,acquisition_rate
current_error_prediction,RandomForestClassifier,1.0,3746.425369410433,8111,1687,0.8625429553264605,0.045845272206303724,3739.8356578731473,0.950207468879668
random_acquisition,sha256_seed_104729,0.1,414.045939238779,1729,1687,0.28865979381443296,0.04656160458452722,419.30770532353284,0.1019561351511559
random_acquisition,sha256_seed_104729,0.2,784.3103203689628,1729,1687,0.3642611683848797,0.04512893982808023,791.3659530194428,0.2009484291641968
random_acquisition,sha256_seed_104729,0.3,1154.5747014991466,1729,1687,0.4329896907216495,0.04656160458452722,1145.6659083075283,0.2981624184943687
random_acquisition,sha256_seed_104729,0.5,1895.1034637595142,1729,1687,0.563573883161512,0.04154727793696275,1906.7879603217548,0.5014819205690575
random_acquisition,sha256_seed_104729,0.75,2820.764416584974,1729,1687,0.711340206185567,0.04369627507163324,2814.097221118435,0.7498518079430943
random_acquisition,sha256_seed_130363,0.1,414.045939238779,2718,1687,0.28865979381443296,0.04871060171919771,427.18354026686427,0.1049199762892709
random_acquisition,sha256_seed_130363,0.2,784.3103203689628,2718,1687,0.3711340206185567,0.04512893982808023,781.7767665093065,0.2021339656194428
random_acquisition,sha256_seed_130363,0.3,1154.5747014991466,2718,1687,0.4261168384879725,0.04512893982808023,1154.0098146800237,0.2993479549496147
random_acquisition,sha256_seed_130363,0.5,1895.1034637595142,2718,1687,0.5601374570446735,0.04512893982808023,1897.1522094844102,0.4985180794309425
random_acquisition,sha256_seed_130363,0.75,2820.764416584974,2718,1687,0.711340206185567,0.0494269340974212,2815.757866454772,0.7474807350326023
random_acquisition,sha256_seed_155921,0.1,414.045939238779,3141,1687,0.2852233676975945,0.052292263610315186,418.3545920182573,0.10314167160640189
random_acquisition,sha256_seed_155921,0.2,784.3103203689628,3141,1687,0.32989690721649484,0.0508595988538682,796.2562171919385,0.2009484291641968
random_acquisition,sha256_seed_155921,0.3,1154.5747014991466,3141,1687,0.39862542955326463,0.052292263610315186,1146.390639487137,0.2975696502667457
random_acquisition,sha256_seed_155921,0.5,1895.1034637595142,3141,1687,0.5360824742268041,0.05659025787965616,1905.1743283484293,0.5038529934795495
random_acquisition,sha256_seed_155921,0.75,2820.764416584974,3141,1687,0.6907216494845361,0.0508595988538682,2818.4875103869595,0.7522228808535862
random_acquisition,sha256_seed_181081,0.1,414.045939238779,5772,1687,0.3127147766323024,0.05300859598853868,414.99034549448726,0.0989922940130409
random_acquisition,sha256_seed_181081,0.2,784.3103203689628,5772,1687,0.3711340206185567,0.05659025787965616,793.5521415110848,0.2050978067575578
random_acquisition,sha256_seed_181081,0.3,1154.5747014991466,5772,1687,0.45017182130584193,0.053724928366762174,1156.061524499822,0.2987551867219917
random_acquisition,sha256_seed_181081,0.5,1895.1034637595142,5772,1687,0.5670103092783505,0.04871060171919771,1904.9540395241258,0.5020746887966805
random_acquisition,sha256_seed_181081,0.75,2820.764416584974,5772,1687,0.7216494845360825,0.04871060171919771,2820.4107489556604,0.7510373443983402
random_acquisition,sha256_seed_205759,0.1,414.045939238779,8111,1687,0.281786941580756,0.05300859598853868,418.8787457018376,0.1001778304682869
random_acquisition,sha256_seed_205759,0.2,784.3103203689628,8111,1687,0.3745704467353952,0.05515759312320917,769.8231660598695,0.1991701244813278
random_acquisition,sha256_seed_205759,0.3,1154.5747014991466,8111,1687,0.42955326460481097,0.05659025787965616,1153.8832956253705,0.2999407231772377
random_acquisition,sha256_seed_205759,0.5,1895.1034637595142,8111,1687,0.5360824742268041,0.05157593123209169,1890.5739793396563,0.5002963841138115
random_acquisition,sha256_seed_205759,0.75,2820.764416584974,8111,1687,0.7079037800687286,0.05157593123209169,2822.9517240314167,0.7474807350326023
signed_value_cost_aware,HistGradientBoostingRegressor,0.1,414.045939238779,1729,1687,0.30584192439862545,0.032234957020057305,421.54761367457024,0.08535862477771192
signed_value_cost_aware,HistGradientBoostingRegressor,0.1,414.045939238779,2718,1687,0.3402061855670103,0.036532951289398284,415.291183887374,0.08061647895672792
signed_value_cost_aware,HistGradientBoostingRegressor,0.1,414.045939238779,3141,1687,0.31958762886597936,0.02650429799426934,422.6651565998814,0.08239478363959692
signed_value_cost_aware,HistGradientBoostingRegressor,0.1,414.045939238779,5772,1687,0.3436426116838488,0.03008595988538682,422.7381635109662,0.08476585655008892
signed_value_cost_aware,HistGradientBoostingRegressor,0.1,414.045939238779,8111,1687,0.3333333333333333,0.03008595988538682,415.26707961232955,0.08417308832246592
signed_value_cost_aware,HistGradientBoostingRegressor,0.2,784.3103203689628,1729,1687,0.422680412371134,0.024355300859598854,778.4882021582692,0.17842323651452283
signed_value_cost_aware,HistGradientBoostingRegressor,0.2,784.3103203689628,2718,1687,0.44673539518900346,0.02865329512893983,786.2927355157084,0.17605216360403084
signed_value_cost_aware,HistGradientBoostingRegressor,0.2,784.3103203689628,3141,1687,0.4536082474226804,0.02363896848137536,786.1932837919384,0.18020154119739182
