signed_family,budget_fraction,budget_ms,comparator,mean_recall_difference,positive_seed_count,negative_seed_count,zero_seed_count,minimum_4_of_5_same_sign,minimum_4_of_5_positive,proposed_max_seed_fpr,comparator_max_seed_fpr,development_empirical_fpr_feasible,cost_equivalent,cost_observed_mean_difference_ms,cost_equivalence_margin_ms,cost_lower_one_sided_bound_ms,cost_upper_one_sided_bound_ms,cost_alpha,cost_bootstrap_repetitions,cost_group_count
Ridge,0.5,1895.1034637595142,current_error_prediction,-0.08453608247422681,0,5,0,True,False,0.0336676217765043,0.036532951289398284,True,False,5.522135816004718,18.951034637595143,-65.08771943756967,77.0910239443924,0.05,5000,1687
Ridge,0.5,1895.1034637595142,random_acquisition,0.12302405498281788,5,0,0,True,True,0.0336676217765043,0.05659025787965616,False,False,-0.4873678222880595,18.951034637595143,-82.08716810364079,81.34381185758508,0.05,5000,1687
Ridge,0.75,2820.764416584974,threshold_distance,0.07903780068728523,5,0,0,True,True,0.042263610315186245,0.04369627507163324,True,False,-99.07213125228215,28.20764416584974,-162.4970706896858,-37.613057652252486,0.05,5000,1687
Ridge,0.75,2820.764416584974,current_error_prediction,-0.032302405498281804,0,5,0,True,False,0.042263610315186245,0.04727793696275072,True,False,4.080932742382923,28.20764416584974,-59.0267045069117,65.6626597414523,0.05,5000,1687
Ridge,0.75,2820.764416584974,random_acquisition,0.09690721649484535,5,0,0,True,True,0.042263610315186245,0.05157593123209169,False,False,4.116778508832251,28.20764416584974,-69.72340361395378,75.50715402387554,0.05,5000,1687
Ridge,1.0,3746.425369410433,current_error_prediction,0.0,0,0,5,True,False,0.0494269340974212,0.0494269340974212,True,True,3.139732081920563,37.464253694104336,-26.988934167854183,27.404700393443992,0.05,5000,1687
HistGradientBoostingRegressor,0.1,414.045939238779,threshold_distance,0.030927835051546393,5,0,0,True,True,0.036532951289398284,0.029369627507163324,True,False,2.692432072317732,4.14045939238779,-42.45417713242442,47.57359527587437,0.05,5000,1687
HistGradientBoostingRegressor,0.1,414.045939238779,current_error_prediction,-0.004123711340206182,3,2,0,False,False,0.036532951289398284,0.042263610315186245,True,False,2.6040795638411294,4.14045939238779,-28.09018875637819,32.690360132981624,0.05,5000,1687
HistGradientBoostingRegressor,0.1,414.045939238779,random_acquisition,0.037113402061855684,5,0,0,True,True,0.036532951289398284,0.05300859598853868,False,False,-0.24114630397154702,4.14045939238779,-37.40087687678482,39.318406562358035,0.05,5000,1687
HistGradientBoostingRegressor,0.2,784.3103203689628,threshold_distance,0.041237113402061855,5,0,0,True,True,0.02865329512893983,0.022922636103151862,True,False,-11.437346696265575,7.843103203689629,-68.27492186732661,44.70818538692352,0.05,5000,1687
HistGradientBoostingRegressor,0.2,784.3103203689628,current_error_prediction,-0.027491408934707896,0,5,0,True,False,0.02865329512893983,0.034383954154727794,True,False,-0.26403519312390367,7.843103203689629,-42.53189290974512,40.41323087644339,0.05,5000,1687
HistGradientBoostingRegressor,0.2,784.3103203689628,random_acquisition,0.08178694158075603,5,0,0,True,True,0.02865329512893983,0.05659025787965616,False,False,-2.7752742321280603,7.843103203689629,-56.11609101850977,49.905753315254316,0.05,5000,1687
HistGradientBoostingRegressor,0.3,1154.5747014991466,threshold_distance,0.06735395189003433,5,0,0,True,True,0.02865329512893983,0.02148997134670487,True,False,-7.567688870183761,11.545747014991466,-76.60125330669233,63.75151939262597,0.05,5000,1687
HistGradientBoostingRegressor,0.3,1154.5747014991466,current_error_prediction,-0.0646048109965636,0,5,0,True,False,0.02865329512893983,0.0329512893982808,True,False,-5.108936283106125,11.545747014991466,-52.20753121148194,41.16940467581505,0.05,5000,1687
HistGradientBoostingRegressor,0.3,1154.5747014991466,random_acquisition,0.1072164948453608,5,0,0,True,True,0.02865329512893983,0.05659025787965616,False,False,2.004440806401877,11.545747014991466,-61.87613960603323,68.85372436383402,0.05,5000,1687
HistGradientBoostingRegressor,0.5,1895.1034637595142,threshold_distance,0.05979381443298968,5,0,0,True,True,0.0329512893982808,0.03151862464183381,True,False,-205.30271575305278,18.951034637595143,-276.8446785347599,-132.33053586110847,0.05,5000,1687
HistGradientBoostingRegressor,0.5,1895.1034637595142,current_error_prediction,-0.07560137457044676,0,5,0,True,False,0.0329512893982808,0.036532951289398284,True,False,4.852128756490802,18.951034637595143,-48.004827871873154,57.89270696716658,0.05,5000,1687
HistGradientBoostingRegressor,0.5,1895.1034637595142,random_acquisition,0.13195876288659794,5,0,0,True,True,0.0329512893982808,0.05659025787965616,False,False,-1.1573748818020442,18.951034637595143,-72.55598414811145,69.00021477707647,0.05,5000,1687
