policy_id,source_dataset,direct_n,direct_mean_ms,direct_std_ms,direct_min_ms,direct_p50_ms,direct_p90_ms,direct_p95_ms,direct_p99_ms,direct_max_ms,component_n,component_mean_ms,component_std_ms,component_min_ms,component_p50_ms,component_p90_ms,component_p95_ms,component_p99_ms,component_max_ms
rule_compact_to_qwen::selective_deployable::0.50,wildguardtest,123,913.5715576829268,1092.2749870168282,22.918248,80.959796,2296.6506716,2504.9300296999995,3009.5619371200005,6835.524608,123,913.374731211382,1092.1558420253677,22.866474999999998,80.854498,2296.2734122,2504.5908190999994,3009.2343028,6834.995814
rule_compact_to_qwen::selective_deployable::0.50,xstest_safe_gpt4,120,735.7884601166666,659.8207640621052,24.583672,1111.5385665,1428.1006172,1453.44126175,1596.0799343600002,1604.448516,120,735.566222175,659.6877604025105,24.521616,1111.2298270000001,1427.7516102000002,1453.06522265,1595.75202604,1604.0893
rule_to_compact::cheap_only,jailbreakbench_judge_comparison,120,1.025742275,0.5289966973748149,0.265415,0.8085095,1.8349161000000003,1.8781736999999998,2.1737065700000002,2.801668,120,1.0009522666666668,0.525837604653736,0.245767,0.7856240000000001,1.8102998000000001,1.85462595,2.12155801,2.757814
rule_to_compact::cheap_only,wildguardtest,123,1.5259462682926828,0.876897057228882,0.239288,1.406145,2.6551973999999996,2.976044399999998,3.1908467000000003,6.494737,123,1.4958549349593495,0.872716968269761,0.220393,1.378025,2.6145935999999996,2.9457403999999983,3.1636571800000004,6.463987
rule_to_compact::cheap_only,xstest_safe_gpt4,120,0.6858274083333333,0.285330003239077,0.197742,0.6574205,1.0287395,1.0797514,1.24971157,1.320104,120,0.6576937333333334,0.28167401077104054,0.175576,0.6303354999999999,1.0000857,1.0486301999999998,1.1989669600000001,1.268449
rule_to_compact::full_information,jailbreakbench_judge_comparison,120,45.36498095,20.418114827296954,20.874971,35.4145545,75.23599540000001,77.26536805,80.26034014,82.425637,120,45.30489995833333,20.41173651332971,20.833184,35.3587885,75.1804725,77.2148659,80.20194588,82.374701
rule_to_compact::full_information,wildguardtest,123,54.7804207398374,20.526668407646902,22.967824,60.762403,76.5592068,78.2116215,80.79575726,81.095805,123,54.69835001626016,20.513915278765065,22.911565,60.673838,76.4755968,78.14949920000001,80.70623702,80.96937100000001
rule_to_compact::full_information,xstest_safe_gpt4,120,31.611267324999996,5.9257461755773,24.971039,28.094212,41.0131259,41.821685450000004,42.397352659999996,43.813021,120,31.534287241666668,5.918507634528802,24.91406,28.013642500000003,40.9379569,41.7409248,42.303674969999996,43.744561999999995
rule_to_compact::selective_deployable::0.10,jailbreakbench_judge_comparison,120,14.039290675,24.189122065822286,0.282637,1.3035895,50.130389800000145,77.01190435,81.22793323,82.177444,120,14.004343033333333,24.172100311427652,0.260809,1.2803935,50.070534000000144,76.9555783,81.16391237,82.107236
rule_to_compact::selective_deployable::0.10,wildguardtest,123,8.827597463414635,22.273373624863,0.248154,1.485277,23.241101599999944,79.63037150000001,81.81457838,83.843399,123,8.790953016260161,22.25386503045086,0.228766,1.457907,23.179376799999943,79.5254992,81.7411353,83.720949
rule_to_compact::selective_deployable::0.10,xstest_safe_gpt4,120,2.7750771,7.890714922455118,0.116722,0.7352515,1.1139363000000002,27.78382185,36.17771833000001,43.386085,120,2.7405912083333335,7.875475390220061,0.101006,0.6988635000000001,1.0815703,27.717975300000003,36.06724292000001,43.287881
rule_to_compact::selective_deployable::0.25,jailbreakbench_judge_comparison,120,25.044953808333336,28.528803452193454,0.222201,21.329774999999998,76.1310212,78.8720267,80.40675251,81.72244,120,25.003513608333332,28.505858162498907,0.205345,21.2724835,76.03910470000001,78.79335625,80.35194407,81.656183
rule_to_compact::selective_deployable::0.25,wildguardtest,123,20.69285850406504,31.197891017566793,0.208806,1.650661,78.37284819999999,79.3654849,81.22266058,82.032285,123,20.65329294308943,31.167776744819513,0.194634,1.629889,78.26501859999999,79.2478057,81.16049232,81.917408
rule_to_compact::selective_deployable::0.25,xstest_safe_gpt4,120,10.328373375,16.16998118111345,0.100106,0.8123469999999999,41.25762280000001,43.3504409,44.71567272,48.168029,120,10.291602133333333,16.142251040216728,0.085532,0.7952,41.156121500000005,43.27539545,44.61750767,48.054126000000004
