layer,contrast,seed,stack,policy_kind,target_key,left_risk_gate_pass,left_recall,left_fpr,left_row_fpr_upper95,left_dependency_group_event_upper95,left_outer_acquisition_rate,left_decision_threshold,left_acquisition_threshold,right_risk_gate_pass,right_recall,right_fpr,right_row_fpr_upper95,right_dependency_group_event_upper95,right_outer_acquisition_rate,right_decision_threshold,right_acquisition_threshold,pass_flip,left_pass_right_fail,left_fail_right_pass,delta_recall_left_minus_right,delta_fpr_left_minus_right,delta_row_fpr_upper95_left_minus_right,delta_dependency_group_event_upper95_left_minus_right,delta_outer_acquisition_rate_left_minus_right,delta_decision_threshold_left_minus_right,delta_acquisition_threshold_left_minus_right
full_protocol,label_at_dependency,2718,rule_compact_to_qwen,selective_deployable,0.25,False,0.4929577464788732,0.0542857142857142,0.0786402386372628,0.0793112366935812,0.2684085510688836,0.1661455191695394,0.3160998654080753,False,0.4788732394366197,0.0401146131805157,0.0620021937416264,0.0623554328159655,0.3047619047619048,0.159988113657847,0.3264420411854583,False,False,False,0.014084507042253502,0.014171101105198501,0.016638044895636396,0.0169558038776157,-0.03635335369302117,0.006157405511692415,-0.010342175777383
full_protocol,label_at_dependency,2718,rule_compact_to_qwen,selective_deployable,0.50,False,0.6619718309859155,0.0714285714285714,0.0983363190817036,0.0991739728379858,0.4869358669833729,0.1167833661006428,0.3828128708626107,False,0.6901408450704225,0.0458452722063037,0.0688005183497085,0.0691922355673019,0.5619047619047619,0.1116781478147735,0.3883043669126252,False,False,False,-0.028169014084507005,0.025583299222267694,0.02953580073199509,0.0299817372706839,-0.07496889492138903,0.005105218285869295,-0.005491496050014533
full_protocol,label_at_dependency,3141,rule_to_compact,cheap_only,anchor,False,0.1830985915492957,0.0542857142857142,0.0786402386372628,0.0793112366935812,0.0,0.3246572676332325,,False,0.1690140845070422,0.0343839541547277,0.0551148884098652,0.0554291043677078,0.0,0.3667711766886886,,False,False,False,0.014084507042253502,0.019901760130986504,0.0235253502273976,0.023882132325873398,0.0,-0.04211390905545609,
full_protocol,label_at_dependency,3141,rule_to_compact,full_information,anchor,False,0.1690140845070422,0.0514285714285714,0.075311700164249,0.0759544884475703,1.0,0.3365171326925291,,False,0.1830985915492957,0.0315186246418338,0.05163164376229,0.0519261074315273,1.0,0.3709544555437045,,False,False,False,-0.014084507042253502,0.019909946786737596,0.023680056401959,0.024028381016043,0.0,-0.0344373228511754,
full_protocol,label_at_dependency,3141,rule_to_compact,selective_deployable,0.10,False,0.2112676056338028,0.0657142857142857,0.0918179839251865,0.0926005340775551,0.1140142517814726,0.3012381813414551,0.2273970086059956,False,0.1830985915492957,0.0343839541547277,0.0551148884098652,0.0554291043677078,0.0714285714285714,0.3616106684239435,0.161599264706628,False,False,False,0.028169014084507116,0.031330331559558,0.036703095515321305,0.0371714297098473,0.04258568035290121,-0.060372487082488435,0.0657977438993676
full_protocol,label_at_dependency,3141,rule_to_compact,selective_deployable,0.25,False,0.2253521126760563,0.0657142857142857,0.0918179839251865,0.0926005340775551,0.2375296912114014,0.3012381813414551,0.3087366774439137,False,0.1830985915492957,0.0343839541547277,0.0551148884098652,0.0554291043677078,0.2476190476190476,0.3616106684239435,0.2976232188321985,False,False,False,0.04225352112676059,0.031330331559558,0.036703095515321305,0.0371714297098473,-0.010089356407646188,-0.060372487082488435,0.011113458611715199
full_protocol,label_at_dependency,3141,rule_to_compact,selective_deployable,0.50,False,0.1690140845070422,0.0514285714285714,0.075311700164249,0.0759544884475703,1.0,0.3365171326925291,0.3757135483820764,False,0.1830985915492957,0.0315186246418338,0.05163164376229,0.0519261074315273,1.0,0.3709544555437045,0.3830229119163429,False,False,False,-0.014084507042253502,0.019909946786737596,0.023680056401959,0.024028381016043,0.0,-0.0344373228511754,-0.007309363534266533
full_protocol,label_at_dependency,3141,compact_to_qwen,cheap_only,anchor,False,0.1267605633802817,0.0514285714285714,0.075311700164249,0.0759544884475703,0.0,0.1745420006694583,,False,0.0704225352112676,0.0429799426934097,0.0654114376898755,0.0657839778694173,0.0,0.168959786863076,,False,False,False,0.05633802816901409,0.008448628735161702,0.009900262474373492,0.010170510578153005,0.0,0.005582213806382297,
full_protocol,label_at_dependency,3141,compact_to_qwen,full_information,anchor,False,0.7605633802816901,0.0342857142857142,0.0549591124020735,0.0554291043677078,1.0,0.8049811885035755,,False,0.8450704225352113,0.0630372492836676,0.0887924515705344,0.0892970996156788,1.0,0.3045844595507426,,False,False,False,-0.08450704225352113,-0.02875153499795341,-0.03383333916846091,-0.033867995247971,0.0,0.5003967289528328,
full_protocol,label_at_dependency,3141,compact_to_qwen,selective_deployable,0.10,True,0.2112676056338028,0.0257142857142857,0.0444424640102825,0.0448229487056789,0.0973871733966745,0.1713431111377095,0.3282174171467496,False,0.2535211267605634,0.0630372492836676,0.0887924515705344,0.0892970996156788,0.0952380952380952,0.1638578487082143,0.3353146271309882,True,True,False,-0.04225352112676056,-0.0373229635693819,-0.04434998756025191,-0.044474150909999906,0.002149078158579301,0.00748526242949521,-0.007097209984238573
