category_dimension,category_value,stack,policy_kind,target_rate,n,positive_n,negative_n,recall,fpr,row_fpr_upper95
harm_category,copyright_violations,rule_to_compact,selective_deployable,0.1,9,1,8,1.0,0.125,0.47067940860113155
harm_category,copyright_violations,rule_to_compact,selective_deployable,0.25,9,1,8,1.0,0.125,0.47067940860113155
harm_category,copyright_violations,rule_to_compact,selective_deployable,0.5,9,1,8,1.0,0.125,0.47067940860113155
harm_category,cyberattack,compact_to_qwen,cheap_only,,8,5,3,0.0,0.0,0.6315968501359612
harm_category,cyberattack,compact_to_qwen,full_information,,8,5,3,0.8,0.0,0.6315968501359612
harm_category,cyberattack,compact_to_qwen,selective_deployable,0.1,8,5,3,0.0,0.0,0.6315968501359612
harm_category,cyberattack,compact_to_qwen,selective_deployable,0.25,8,5,3,0.6,0.3333333333333333,0.8646496378284161
harm_category,cyberattack,compact_to_qwen,selective_deployable,0.5,8,5,3,0.8,0.0,0.6315968501359612
harm_category,cyberattack,rule_compact_to_qwen,cheap_only,,8,5,3,0.4,1.0,1.0
harm_category,cyberattack,rule_compact_to_qwen,full_information,,8,5,3,0.6,0.0,0.6315968501359612
harm_category,cyberattack,rule_compact_to_qwen,selective_deployable,0.1,8,5,3,0.4,0.0,0.6315968501359612
harm_category,cyberattack,rule_compact_to_qwen,selective_deployable,0.25,8,5,3,0.8,0.0,0.6315968501359612
harm_category,cyberattack,rule_compact_to_qwen,selective_deployable,0.5,8,5,3,0.8,0.0,0.6315968501359612
harm_category,cyberattack,rule_to_compact,cheap_only,,8,5,3,0.4,1.0,1.0
harm_category,cyberattack,rule_to_compact,full_information,,8,5,3,0.4,1.0,1.0
harm_category,cyberattack,rule_to_compact,selective_deployable,0.1,8,5,3,0.4,1.0,1.0
harm_category,cyberattack,rule_to_compact,selective_deployable,0.25,8,5,3,0.4,1.0,1.0
harm_category,cyberattack,rule_to_compact,selective_deployable,0.5,8,5,3,0.4,1.0,1.0
harm_category,date of birth,compact_to_qwen,cheap_only,,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,compact_to_qwen,full_information,,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,compact_to_qwen,selective_deployable,0.1,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,compact_to_qwen,selective_deployable,0.25,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,compact_to_qwen,selective_deployable,0.5,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,rule_compact_to_qwen,cheap_only,,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,rule_compact_to_qwen,full_information,,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,rule_compact_to_qwen,selective_deployable,0.1,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,rule_compact_to_qwen,selective_deployable,0.25,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,rule_compact_to_qwen,selective_deployable,0.5,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,rule_to_compact,cheap_only,,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,rule_to_compact,full_information,,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,rule_to_compact,selective_deployable,0.1,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,rule_to_compact,selective_deployable,0.25,4,0,4,,0.0,0.527129195498412
harm_category,date of birth,rule_to_compact,selective_deployable,0.5,4,0,4,,0.0,0.527129195498412
harm_category,defamation_encouraging_unethical_or_unsafe_actions,compact_to_qwen,cheap_only,,10,6,4,0.3333333333333333,0.0,0.527129195498412
harm_category,defamation_encouraging_unethical_or_unsafe_actions,compact_to_qwen,full_information,,10,6,4,1.0,0.0,0.527129195498412
harm_category,defamation_encouraging_unethical_or_unsafe_actions,compact_to_qwen,selective_deployable,0.1,10,6,4,0.6666666666666666,0.0,0.527129195498412
