requested_budget,policy,seed_n,acquisition_rate_mean,acquisition_rate_se,acquisition_rate_ci95_lower,acquisition_rate_ci95_upper,decision_loss_mean,decision_loss_se,decision_loss_ci95_lower,decision_loss_ci95_upper,accuracy_mean,accuracy_se,accuracy_ci95_lower,accuracy_ci95_upper,total_risk_with_cost_mean,total_risk_with_cost_se,total_risk_with_cost_ci95_lower,total_risk_with_cost_ci95_upper,fpr_mean,fpr_se,fpr_ci95_lower,fpr_ci95_upper,recall_mean,recall_se,recall_ci95_lower,recall_ci95_upper,fnr_mean,fnr_se,fnr_ci95_lower,fnr_ci95_upper,decision_loss_reduction_vs_never_mean,decision_loss_reduction_vs_never_se,decision_loss_reduction_vs_never_ci95_lower,decision_loss_reduction_vs_never_ci95_upper,context_a_acquisition_rate_mean,context_a_acquisition_rate_se,context_a_acquisition_rate_ci95_lower,context_a_acquisition_rate_ci95_upper,context_b_acquisition_rate_mean,context_b_acquisition_rate_se,context_b_acquisition_rate_ci95_lower,context_b_acquisition_rate_ci95_upper,oracle_value_captured_per_example_mean,oracle_value_captured_per_example_se,oracle_value_captured_per_example_ci95_lower,oracle_value_captured_per_example_ci95_upper
0.1,random,30,0.10000000000000003,5.1540810002429455e-18,0.10000000000000002,0.10000000000000005,0.20043611111111112,0.0008141928609979073,0.19877089973738538,0.20210132248483687,0.799563888888889,0.0008141928609979065,0.7978986775151632,0.8012291002626147,0.2024361111111111,0.0008141928609979073,0.20077089973738535,0.20410132248483684,0.20173283090423044,0.0009619373224763246,0.1997654481784281,0.2037002136300328,0.800859546212399,0.0011438265448964798,0.7985201582573185,0.8031989341674795,0.19914045378760103,0.0011438265448964798,0.19680106583252052,0.20147984174268155,0.009449999999999998,0.00019043205564214194,0.009060522714988426,0.009839477285011571,0.10004074862540326,0.0004166053400316987,0.09918869503489965,0.10089280221590687,0.09995065821813236,0.000416286958677059,0.09909925579061277,0.10080206064565195,0.009763243135489602,6.67441695690784e-05,0.009626735981447391,0.009899750289531812
0.1,uncertainty,30,0.10000000000000003,5.1540810002429455e-18,0.10000000000000002,0.10000000000000005,0.188225,0.0008395472347563135,0.18650793310950584,0.18994206689049417,0.8117750000000001,0.0008395472347563146,0.810057933109506,0.8134920668904942,0.19022500000000003,0.0008395472347563136,0.18850793310950587,0.1919420668904942,0.189156569535442,0.001010997792186622,0.1870888468827312,0.1912242921881528,0.8126968930296529,0.0011231133088865915,0.8103998683988443,0.8149939176604615,0.18730310697034716,0.0011231133088865915,0.18500608233953855,0.18960013160115577,0.02166111111111111,0.00017007686139643063,0.021313264872742235,0.022008957349479986,0.09993678833965178,0.0004897328498714141,0.09893517219836864,0.10093840448093491,0.10006924460080799,0.0004877457629639206,0.09907169250856955,0.10106679669304643,0.022100291916555083,0.00011419626963638363,0.02186673432087377,0.022333849512236395
0.2,learned_value,30,0.20000000000000007,1.0308162000485891e-17,0.20000000000000004,0.2000000000000001,0.14423611111111115,0.0006643648400526396,0.14287733244704473,0.14559488977517757,0.8557638888888889,0.0006643648400526407,0.8544051102248225,0.8571226675529553,0.14823611111111112,0.0006643648400526396,0.1468773324470447,0.14959488977517754,0.14428715968504244,0.0011274943330752331,0.14198117485370032,0.14659314451638455,0.8557972342305312,0.0010725989081783384,0.8536035231494057,0.8579909453116568,0.14420276576946853,0.0010725989081783384,0.14200905468834302,0.14639647685059404,0.06565,0.0003302153018772298,0.06497463387631489,0.06632536612368511,0.40035782631418915,0.0007827378656211252,0.3987569476294011,0.4019587049989772,0.0,0.0,0.0,0.0,0.06689581765920817,0.0001576032383559928,0.0665734828444264,0.06721815247398995
0.2,oracle_decision_value,30,0.20000000000000007,1.0308162000485891e-17,0.20000000000000004,0.2000000000000001,0.14208611111111108,0.0006752262207048005,0.14070511842938038,0.14346710379284178,0.857913888888889,0.0006752262207048004,0.8565328962071583,0.8592948815706196,0.14608611111111108,0.0006752262207048005,0.14470511842938039,0.14746710379284178,0.14237732434794395,0.0008732850235489197,0.14059125593175115,0.14416339276413676,0.8581978298849248,0.0009125216901626802,0.856331513475115,0.8600641462947345,0.14180217011507526,0.0009125216901626803,0.1399358537052655,0.143668486524885,0.0678,0.0003695290572308646,0.06704422821852209,0.06855577178147791,0.40035782631418915,0.0007827378656211252,0.3987569476294011,0.4019587049989772,0.0,0.0,0.0,0.0,0.06894132550287561,7.875973340367761e-05,0.06878024376151194,0.06910240724423929
0.2,random,30,0.20000000000000007,1.0308162000485891e-17,0.20000000000000004,0.2000000000000001,0.19059444444444443,0.0008374299053160104,0.18888170797888373,0.19230718091000512,0.8094055555555555,0.0008374299053160111,0.8076928190899948,0.8111182920211162,0.1945944444444444,0.0008374299053160104,0.1928817079788837,0.1963071809100051,0.19187669032554458,0.0009241079258212963,0.1899866774031251,0.19376670324796405,0.8106876906030711,0.0012099972954836323,0.8082129682674476,0.8131624129386946,0.18931230939692878,0.001209997295483632,0.18683758706130527,0.1917870317325523,0.019291666666666665,0.00022104874551265937,0.018839571219987927,0.019743762113345404,0.20105138433497752,0.00043273567420532466,0.2001663405068845,0.20193642816307053,0.19894881488925914,0.00043385475316798925,0.1980614822876998,0.1998361474908185,0.019611246011424215,9.925080713026367e-05,0.019408255318675804,0.019814236704172625
0.2,uncertainty,30,0.20000000000000007,1.0308162000485891e-17,0.20000000000000004,0.2000000000000001,0.16979166666666667,0.0007958600374649535,0.1681639501270545,0.17141938320627884,0.8302083333333334,0.0007958600374649542,0.8285806167937213,0.8318360498729456,0.17379166666666668,0.0007958600374649535,0.17216395012705452,0.17541938320627884,0.1704505771472805,0.0009823832084797936,0.1684413778893642,0.17245977640519683,0.8308615422393436,0.0010707295328430382,0.8286716544600661,0.8330514300186211,0.16913845776065634,0.001070729532843038,0.16694856998137886,0.1713283455399338,0.04009444444444444,0.000295175482293086,0.039490742798427805,0.040698146090461074,0.19985685063217065,0.0006516796734802052,0.19852401604679357,0.20118968521754774,0.2001548629636469,0.0006542936411911885,0.19881668221402374,0.20149304371327006,0.04082132331739873,0.00014316632420717062,0.04052851530737504,0.04111413132742242
0.25,learned_value,30,0.25,0.0,0.25,0.25,0.13395833333333332,0.0006971336818504543,0.13253253486268365,0.13538413180398298,0.8660416666666667,0.0006971336818504544,0.8646158681960171,0.8674674651373163,0.13895833333333338,0.0006971336818504546,0.13753253486268371,0.14038413180398304,0.13423620964408084,0.0012089298017891172,0.13176367057820412,0.13670874870995756,0.8663079430719558,0.001048869316692333,0.8641627644547332,0.8684531216891784,0.13369205692804417,0.001048869316692333,0.13154687831082154,0.1358372355452668,0.07592777777777779,0.00038116438978368094,0.07514820906926678,0.0767073464862888,0.5004472828927364,0.0009784223320264066,0.49844618453675144,0.5024483812487215,0.0,0.0,0.0,0.0,0.0773330692940408,0.00015459833453579518,0.07701688019762384,0.07764925839045775
0.25,oracle_decision_value,30,0.25,0.0,0.25,0.25,0.1323527777777778,0.0006404655291915315,0.13104287869271106,0.13366267686284453,0.8676472222222222,0.0006404655291915323,0.8663373231371555,0.868957121307289,0.1373527777777778,0.0006404655291915317,0.13604287869271106,0.13866267686284453,0.13253291510811765,0.0008590466632769199,0.1307759674084085,0.13428986280782682,0.8678227642111516,0.0008485179058397004,0.8660873502382478,0.8695581781840553,0.13217723578884835,0.0008485179058397004,0.13044182181594463,0.13391264976175207,0.07753333333333333,0.0003897349854402573,0.07673623578853475,0.07833043087813191,0.5004472828927364,0.0009784223320264066,0.49844618453675144,0.5024483812487215,0.0,0.0,0.0,0.0,0.07878667799760093,0.00010317190970319391,0.07857566774964052,0.07899768824556135
0.25,random,30,0.25,0.0,0.25,0.25,0.18569166666666667,0.0008308021904722484,0.18399248539996405,0.1873908479333693,0.8143083333333332,0.000830802190472248,0.8126091520666305,0.8160075146000358,0.19069166666666665,0.0008308021904722483,0.18899248539996402,0.19239084793336927,0.18704657950271672,0.0009545395838392653,0.18509432685125965,0.1889988321541738,0.8156633723364607,0.001193462172782903,0.813222468123921,0.8181042765490004,0.18433662766353948,0.0011934621727829027,0.18189572345099977,0.18677753187607918,0.02419444444444445,0.0002532777884929726,0.023676433203724805,0.024712455685164093,0.2516571632000205,0.000522914873273393,0.2505876822008897,0.2527266441991513,0.24834271964303217,0.0005225242112117133,0.24727403763752998,0.24941140164853437,0.024665505513163453,0.00011702153548411684,0.024426169600023452,0.024904841426303455
0.25,uncertainty,30,0.25,0.0,0.25,0.25,0.1617972222222222,0.0007748406845408632,0.16021249508626884,0.16338194935817557,0.8382027777777777,0.0007748406845408645,0.8366180506418244,0.8397875049137311,0.16679722222222224,0.0007748406845408632,0.16521249508626887,0.1683819493581756,0.16262709709058193,0.0009625850503721383,0.16065838961248702,0.16459580456867684,0.8390270327853288,0.0010345235994174268,0.8369111944543144,0.8411428711163431,0.1609729672146712,0.0010345235994174268,0.15885712888365686,0.16308880554568553,0.04808888888888889,0.00028376497809398063,0.047508524344291946,0.04866925343348583,0.2496474785471675,0.0006703204066586863,0.24827651938174272,0.2510184377125923,0.25036714016946365,0.0006735446773485659,0.24898958663004966,0.25174469370887764,0.04894385261028145,0.00014577846260329128,0.04864570217738067,0.049242003043182235
