policy,requested_budget,acquired_n,acquisition_rate,decision_loss,accuracy,total_risk_with_cost,fpr,recall,fnr,decision_loss_reduction_vs_never,context_a_acquisition_rate,context_b_acquisition_rate,oracle_value_captured_per_example,seed
uncertainty,1.0,12000,1.0,0.11508333333333333,0.8849166666666667,0.13508333333333333,0.11400918635170604,0.8838075880758808,0.11619241192411922,0.09458333333333334,1.0,1.0,0.09648212907328499,24
oracle_decision_value,1.0,12000,1.0,0.11508333333333333,0.8849166666666667,0.13508333333333333,0.11400918635170604,0.8838075880758808,0.11619241192411922,0.09458333333333334,1.0,1.0,0.09648212907328499,24
learned_value,1.0,12000,1.0,0.11508333333333333,0.8849166666666667,0.13508333333333333,0.11400918635170604,0.8838075880758808,0.11619241192411922,0.09458333333333334,1.0,1.0,0.09648212907328499,24
random,0.0,0,0.0,0.20391666666666666,0.7960833333333334,0.20391666666666666,0.2015593895155939,0.7937039517749498,0.2062960482250502,0.0,0.0,0.0,0.0,25
uncertainty,0.0,0,0.0,0.20391666666666666,0.7960833333333334,0.20391666666666666,0.2015593895155939,0.7937039517749498,0.2062960482250502,0.0,0.0,0.0,0.0,25
oracle_decision_value,0.0,0,0.0,0.20391666666666666,0.7960833333333334,0.20391666666666666,0.2015593895155939,0.7937039517749498,0.2062960482250502,0.0,0.0,0.0,0.0,25
learned_value,0.0,0,0.0,0.20391666666666666,0.7960833333333334,0.20391666666666666,0.2015593895155939,0.7937039517749498,0.2062960482250502,0.0,0.0,0.0,0.0,25
random,0.05,600,0.05,0.20025,0.79975,0.20125,0.19724618447246184,0.7967180174146015,0.20328198258539854,0.0036666666666666514,0.04979184013322231,0.05020850708924104,0.00455002860853069,25
uncertainty,0.05,600,0.05,0.1935,0.8065,0.1945,0.19077637690776378,0.8037508372404555,0.19624916275954452,0.010416666666666657,0.054787676935886764,0.045204336947456215,0.012638361748229994,25
oracle_decision_value,0.05,600,0.05,0.18366666666666667,0.8163333333333334,0.18466666666666667,0.17949568679495687,0.8121232417950436,0.18787675820495642,0.02024999999999999,0.09991673605328892,0.0,0.02234090906101873,25
learned_value,0.05,600,0.05,0.185,0.815,0.186,0.18198407431984073,0.8119557937039518,0.18804420629604823,0.018916666666666665,0.09991673605328892,0.0,0.0214247508866896,25
random,0.1,1200,0.1,0.19475,0.80525,0.19675,0.19276708692767086,0.8032484929671801,0.19675150703281985,0.009166666666666656,0.1019150707743547,0.09808173477898248,0.009563601785525726,25
uncertainty,0.1,1200,0.1,0.18266666666666667,0.8173333333333334,0.18466666666666667,0.17850033178500332,0.8131279303415941,0.18687206965840586,0.02124999999999999,0.10591174021648626,0.09407839866555463,0.023578795670216635,25
oracle_decision_value,0.1,1200,0.1,0.16466666666666666,0.8353333333333334,0.16666666666666666,0.16058394160583941,0.8312123241795043,0.1687876758204957,0.03925000000000001,0.19983347210657784,0.0,0.041289928030441875,25
learned_value,0.1,1200,0.1,0.16941666666666666,0.8305833333333333,0.17141666666666666,0.1617451891174519,0.8228399196249163,0.17716008037508368,0.0345,0.19983347210657784,0.0,0.03800109009749171,25
random,0.2,2400,0.2,0.18475,0.81525,0.18875,0.18214996682149967,0.8126255860683188,0.1873744139316812,0.019166666666666665,0.20116569525395503,0.1988323603002502,0.018919991279494213,25
uncertainty,0.2,2400,0.2,0.16458333333333333,0.8354166666666667,0.16858333333333334,0.16058394160583941,0.8313797722705961,0.16862022772940388,0.03933333333333333,0.2,0.2,0.04131862989526,25
oracle_decision_value,0.2,2400,0.2,0.13875,0.86125,0.14275000000000002,0.13404114134041142,0.8564969859343603,0.1435030140656397,0.06516666666666665,0.3996669442131557,0.0,0.06895939794801259,25
learned_value,0.2,2400,0.2,0.1395,0.8605,0.14350000000000002,0.13453881884538818,0.8554922973878097,0.14450770261219026,0.06441666666666665,0.3996669442131557,0.0,0.06787597528631575,25
random,0.25,3000,0.25,0.18,0.8200000000000001,0.185,0.17733908427339085,0.8173141326188882,0.1826858673811118,0.02391666666666667,0.2524562864279767,0.2475396163469558,0.023981203585182357,25
