label_condition,label_column,grouping_condition,group_column,seed,stack,policy_kind,target_rate,deployable,acquisition_threshold,decision_threshold,selection_acquisition_rate,holdout_acquisition_rate,selection_n,selection_recall,selection_fpr,holdout_n,holdout_positive_n,holdout_negative_n,holdout_tp,holdout_fn,holdout_fp,holdout_tn,holdout_recall,holdout_fpr,holdout_precision,holdout_intercept_rate,holdout_row_fpr_upper95,holdout_negative_dependency_groups,holdout_failed_dependency_groups,holdout_dependency_group_event_rate,holdout_dependency_group_event_upper95,primary_risk_gate_pass
audited,y,dependency_primary,primary_dependency_group,2718,compact_to_qwen,cheap_only,,True,,0.16955341380482028,0.0,0.0,428,0.10126582278481013,0.04871060171919771,420,71,349,2,69,13,336,0.028169014084507043,0.03724928366762178,0.13333333333333333,0.03571428571428571,0.05857079629240329,347,13,0.037463976945244955,0.05890459855125166,False
audited,y,dependency_primary,primary_dependency_group,2718,compact_to_qwen,full_information,,True,,0.27627095703346255,1.0,1.0,428,0.8987341772151899,0.045845272206303724,420,71,349,62,9,20,329,0.8732394366197183,0.05730659025787966,0.7560975609756098,0.19523809523809524,0.08218591616153102,347,20,0.05763688760806916,0.08265328077456838,False
audited,y,dependency_primary,primary_dependency_group,2718,compact_to_qwen,selective_deployable,0.1,True,0.33463201126480757,0.1645046771739669,0.10046728971962617,0.08571428571428572,428,0.21518987341772153,0.034383954154727794,420,71,349,16,55,28,321,0.22535211267605634,0.08022922636103152,0.36363636363636365,0.10476190476190476,0.10834438899688771,347,28,0.08069164265129683,0.10895917901725036,False
audited,y,dependency_primary,primary_dependency_group,2718,compact_to_qwen,offline_ranked_diagnostic,0.1,False,,0.1645046771739669,0.10046728971962617,0.1,428,0.21518987341772153,0.034383954154727794,420,71,349,16,55,23,326,0.22535211267605634,0.0659025787965616,0.41025641025641024,0.09285714285714286,0.0920773606800653,347,23,0.06628242074927954,0.09260053407755514,False
audited,y,dependency_primary,primary_dependency_group,2718,compact_to_qwen,selective_deployable,0.25,True,0.3361211525136454,0.1638653913316793,0.25,0.27380952380952384,428,0.27848101265822783,0.03151862464183381,420,71,349,26,45,15,334,0.36619718309859156,0.04297994269340974,0.6341463414634146,0.09761904761904762,0.06541143768987555,347,15,0.043227665706051875,0.06578397786941731,False
audited,y,dependency_primary,primary_dependency_group,2718,compact_to_qwen,offline_ranked_diagnostic,0.25,False,,0.1638653913316793,0.25,0.25,428,0.27848101265822783,0.03151862464183381,420,71,349,26,45,23,326,0.36619718309859156,0.0659025787965616,0.5306122448979592,0.11666666666666667,0.0920773606800653,347,23,0.06628242074927954,0.09260053407755514,False
audited,y,dependency_primary,primary_dependency_group,2718,compact_to_qwen,selective_deployable,0.5,True,0.33647220022381186,0.27627095703346255,0.5,0.5166666666666667,428,0.5443037974683544,0.03151862464183381,420,71,349,46,25,17,332,0.647887323943662,0.04871060171919771,0.7301587301587301,0.15,0.0721711346734761,347,17,0.04899135446685879,0.0725819148103667,False
audited,y,dependency_primary,primary_dependency_group,2718,compact_to_qwen,offline_ranked_diagnostic,0.5,False,,0.27627095703346255,0.5,0.5,428,0.5443037974683544,0.03151862464183381,420,71,349,44,27,16,333,0.6197183098591549,0.045845272206303724,0.7333333333333333,0.14285714285714285,0.0688005183497085,347,16,0.04610951008645533,0.06919223556730196,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_compact_to_qwen,cheap_only,,True,,0.33182521138420895,0.0,0.0,428,0.24050632911392406,0.04871060171919771,420,71,349,18,53,23,326,0.2535211267605634,0.0659025787965616,0.43902439024390244,0.09761904761904762,0.0920773606800653,347,23,0.06628242074927954,0.09260053407755514,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_compact_to_qwen,full_information,,True,,0.2708913469484481,1.0,1.0,428,0.8987341772151899,0.03151862464183381,420,71,349,57,14,18,331,0.8028169014084507,0.05157593123209169,0.76,0.17857142857142858,0.07552475092839267,347,18,0.05187319884726225,0.07595448844757033,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_compact_to_qwen,selective_deployable,0.1,True,0.19290400327350926,0.2553017026953611,0.10046728971962617,0.11428571428571428,428,0.4050632911392405,0.025787965616045846,420,71,349,21,50,14,335,0.29577464788732394,0.04011461318051576,0.6,0.08333333333333333,0.06200219374162649,347,14,0.040345821325648415,0.06235543281596552,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_compact_to_qwen,offline_ranked_diagnostic,0.1,False,,0.2553017026953611,0.10046728971962617,0.1,428,0.4050632911392405,0.025787965616045846,420,71,349,21,50,20,329,0.29577464788732394,0.05730659025787966,0.5121951219512195,0.09761904761904762,0.08218591616153102,347,20,0.05763688760806916,0.08265328077456838,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_compact_to_qwen,selective_deployable,0.25,True,0.3264420411854583,0.159988113657847,0.25,0.3047619047619048,428,0.5063291139240507,0.03724928366762178,420,71,349,34,37,14,335,0.4788732394366197,0.04011461318051576,0.7083333333333334,0.11428571428571428,0.06200219374162649,347,14,0.040345821325648415,0.06235543281596552,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_compact_to_qwen,offline_ranked_diagnostic,0.25,False,,0.159988113657847,0.25,0.25,428,0.5063291139240507,0.03724928366762178,420,71,349,34,37,33,316,0.4788732394366197,0.09455587392550144,0.5074626865671642,0.1595238095238095,0.12439292439465133,347,33,0.09510086455331412,0.12509790712815239,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_compact_to_qwen,selective_deployable,0.5,True,0.38830436691262527,0.11167814781477353,0.5,0.5619047619047619,428,0.6582278481012658,0.03724928366762178,420,71,349,49,22,16,333,0.6901408450704225,0.045845272206303724,0.7538461538461538,0.15476190476190477,0.0688005183497085,347,16,0.04610951008645533,0.06919223556730196,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_compact_to_qwen,offline_ranked_diagnostic,0.5,False,,0.11167814781477353,0.5,0.5,428,0.6582278481012658,0.03724928366762178,420,71,349,49,22,37,312,0.6901408450704225,0.10601719197707736,0.5697674418604651,0.20476190476190476,0.13710387713304692,347,37,0.10662824207492795,0.137880162577178,False
audited,y,dependency_primary,primary_dependency_group,3141,rule_to_compact,cheap_only,,True,,0.36677117668868864,0.0,0.0,428,0.24050632911392406,0.04871060171919771,420,71,349,12,59,12,337,0.16901408450704225,0.034383954154727794,0.5,0.05714285714285714,0.05511488840986523,347,12,0.0345821325648415,0.0554291043677078,False
audited,y,dependency_primary,primary_dependency_group,3141,rule_to_compact,full_information,,True,,0.37095445554370454,1.0,1.0,428,0.21518987341772153,0.04871060171919771,420,71,349,13,58,11,338,0.18309859154929578,0.03151862464183381,0.5416666666666666,0.05714285714285714,0.05163164376229004,347,11,0.03170028818443804,0.05192610743152733,False
audited,y,dependency_primary,primary_dependency_group,3141,rule_to_compact,selective_deployable,0.1,True,0.16159926470662805,0.3616106684239435,0.10046728971962617,0.07142857142857142,428,0.24050632911392406,0.04871060171919771,420,71,349,13,58,12,337,0.18309859154929578,0.034383954154727794,0.52,0.05952380952380952,0.05511488840986523,347,12,0.0345821325648415,0.0554291043677078,False
audited,y,dependency_primary,primary_dependency_group,3141,rule_to_compact,offline_ranked_diagnostic,0.1,False,,0.3616106684239435,0.10046728971962617,0.1,428,0.24050632911392406,0.04871060171919771,420,71,349,13,58,12,337,0.18309859154929578,0.034383954154727794,0.52,0.05952380952380952,0.05511488840986523,347,12,0.0345821325648415,0.0554291043677078,False
